INDUSTRY,SYMBOL
INDUSTRIAL MANUFACTURING,ESABINDIA
METALS,JSLHISAR
CONSUMER GOODS,EMAMILTD
METALS,GMDCLTD
CONSUMER GOODS,INDIAMART
AUTOMOBILE,JTEKTINDIA
PHARMA,NATCOPHARM
MEDIA & ENTERTAINMENT,TVTODAY
FINANCIAL SERVICES,IIFLWAM
CONSUMER GOODS,WHIRLPOOL
IT,BSOFT
CONSUMER GOODS,LAOPALA
SERVICES,CONCOR
FINANCIAL SERVICES,CHOLAHLDNG
AUTOMOBILE,JAMNAAUTO
CEMENT & CEMENT PRODUCTS,INDIACEM
SERVICES,MHRIL
CONSUMER GOODS,CCL
CEMENT & CEMENT PRODUCTS,JKLAKSHMI
INDUSTRIAL MANUFACTURING,HUHTAMAKI
CEMENT & CEMENT PRODUCTS,STARCEMENT
INDUSTRIAL MANUFACTURING,FINCABLES
AUTOMOBILE,SUNDRMFAST
CONSUMER GOODS,GAEL
CONSUMER GOODS,MCDOWELL-N
TEXTILES,LUXIND
PHARMA,POLYMED
CONSUMER GOODS,JCHAC
CONSTRUCTION,ASHOKA
CHEMICALS,PIDILITIND
SERVICES,TCIEXP
FINANCIAL SERVICES,KARURVYSYA
CONSUMER GOODS,CENTURYPLY
FINANCIAL SERVICES,SHRIRAMCIT
CEMENT & CEMENT PRODUCTS,RAMCOCEM
CONSUMER GOODS,HATSUN
INDUSTRIAL MANUFACTURING,JAICORPLTD
INDUSTRIAL MANUFACTURING,GMMPFAUDLR
SERVICES,SPICEJET
FINANCIAL SERVICES,MOTILALOFS
FINANCIAL SERVICES,HUDCO
OIL & GAS,IOC
INDUSTRIAL MANUFACTURING,ELGIEQUIP
MEDIA & ENTERTAINMENT,HATHWAY
SERVICES,DELTACORP
TELECOM,HFCL
MEDIA & ENTERTAINMENT,JAGRAN
CONSTRUCTION,PSPPROJECT
FINANCIAL SERVICES,YESBANK
CONSUMER GOODS,BRITANNIA
AUTOMOBILE,CEATLTD
FINANCIAL SERVICES,SBIN
SERVICES,NESCO
CHEMICALS,SOLARINDS
SERVICES,EIHOTEL
POWER,ADANITRANS
POWER,ADANIGREEN
FINANCIAL SERVICES,BSE
OIL & GAS,ATGL
OIL & GAS,AEGISCHEM
INDUSTRIAL MANUFACTURING,THERMAX
CONSTRUCTION,KNRCON
INDUSTRIAL MANUFACTURING,SKFINDIA
FINANCIAL SERVICES,PNBHOUSING
OIL & GAS,CHENNPETRO
CONSTRUCTION,SUNTECK
PHARMA,PGHL
FINANCIAL SERVICES,INDIANB
FINANCIAL SERVICES,CANBK
OIL & GAS,CASTROLIND
FINANCIAL SERVICES,J&KBANK
CONSUMER GOODS,AMBER
FINANCIAL SERVICES,KTKBANK
INDUSTRIAL MANUFACTURING,TIMKEN
CONSTRUCTION,OBEROIRLTY
POWER,CESC
CONSUMER GOODS,SFL
AUTOMOBILE,EXIDEIND
FINANCIAL SERVICES,BANKBARODA
INDUSTRIAL MANUFACTURING,GEPIL
INDUSTRIAL MANUFACTURING,KEI
POWER,KALPATPOWR
CONSUMER GOODS,CROMPTON
CONSUMER GOODS,GODREJAGRO
AUTOMOBILE,MINDAIND
CONSTRUCTION,GODREJPROP
FINANCIAL SERVICES,IDFCFIRSTB
FINANCIAL SERVICES,IDFC
MEDIA & ENTERTAINMENT,DBCORP
FINANCIAL SERVICES,PNB
AUTOMOBILE,AMARAJABAT
CONSUMER GOODS,SHOPERSTOP
CONSTRUCTION,SOBHA
SERVICES,CHALET
AUTOMOBILE,ESCORTS
MEDIA & ENTERTAINMENT,ZEEL
MEDIA & ENTERTAINMENT,TV18BRDCST
PHARMA,LAURUSLABS
INDUSTRIAL MANUFACTURING,GRAPHITE
AUTOMOBILE,ENDURANCE
CONSTRUCTION,PNCINFRA
CONSTRUCTION,NCC
METALS,WELCORP
TEXTILES,PAGEIND
CONSTRUCTION,KOLTEPATIL
CEMENT & CEMENT PRODUCTS,SHREECEM
SERVICES,LEMONTREE
INDUSTRIAL MANUFACTURING,GRSE
INDUSTRIAL MANUFACTURING,SCHAEFFLER
CONSUMER GOODS,VIPIND
AUTOMOBILE,SUPRAJIT
CHEMICALS,SUPPETRO
CHEMICALS,GHCL
INDUSTRIAL MANUFACTURING,ORIENTREF
INDUSTRIAL MANUFACTURING,BEL
FINANCIAL SERVICES,CENTRALBK
AUTOMOBILE,BOSCHLTD
METALS,HINDZINC
CONSUMER GOODS,GODREJIND
FERTILISERS & PESTICIDES,DHANUKA
FINANCIAL SERVICES,UNIONBANK
INDUSTRIAL MANUFACTURING,ABB
AUTOMOBILE,HEROMOTOCO
FERTILISERS & PESTICIDES,BAYERCROP
CEMENT & CEMENT PRODUCTS,HEIDELBERG
IT,AFFLE
CHEMICALS,PHILIPCARB
CONSUMER GOODS,BERGEPAINT
CONSTRUCTION,LT
FINANCIAL SERVICES,CUB
INDUSTRIAL MANUFACTURING,HEG
SERVICES,SIS
FINANCIAL SERVICES,MCX
CONSTRUCTION,KAJARIACER
INDUSTRIAL MANUFACTURING,KSB
POWER,NLCINDIA
FINANCIAL SERVICES,CHOLAFIN
CEMENT & CEMENT PRODUCTS,ORIENTCEM
PHARMA,CADILAHC
METALS,JINDALSAW
CONSUMER GOODS,HERITGFOOD
AUTOMOBILE,JKTYRE
CONSUMER GOODS,AKZOINDIA
CONSUMER GOODS,VMART
PAPER,CENTURYTEX
PHARMA,CAPLIPOINT
INDUSTRIAL MANUFACTURING,FINPIPE
INDUSTRIAL MANUFACTURING,INGERRAND
METALS,NMDC
TEXTILES,GARFIBRES
CONSUMER GOODS,RAJESHEXPO
FINANCIAL SERVICES,SOUTHBANK
METALS,JSWSTEEL
CONSTRUCTION,BRIGADE
INDUSTRIAL MANUFACTURING,POLYPLEX
SERVICES,INDHOTEL
CONSUMER GOODS,BBTC
CONSUMER GOODS,FCONSUMER
FERTILISERS & PESTICIDES,PIIND
OIL & GAS,MGL
PHARMA,FDC
TEXTILES,VTL
FINANCIAL SERVICES,SBICARD
FINANCIAL SERVICES,CGCL
FINANCIAL SERVICES,M&MFIN
INDUSTRIAL MANUFACTURING,LAXMIMACH
CONSTRUCTION,IRB
HEALTHCARE SERVICES,NH
FINANCIAL SERVICES,FEDERALBNK
PHARMA,ALKEM
CONSUMER GOODS,VBL
MEDIA & ENTERTAINMENT,NAVNETEDUL
CONSTRUCTION,DLF
METALS,HINDALCO
CONSUMER GOODS,VSTIND
AUTOMOBILE,MARUTI
INDUSTRIAL MANUFACTURING,PRAJIND
METALS,SAIL
FINANCIAL SERVICES,CREDITACC
CONSUMER GOODS,TATACOFFEE
AUTOMOBILE,VARROC
CONSTRUCTION,KEC
FINANCIAL SERVICES,HDFCBANK
FINANCIAL SERVICES,BAJAJHLDNG
PHARMA,SEQUENT
INDUSTRIAL MANUFACTURING,POLYCAB
HEALTHCARE SERVICES,LALPATHLAB
CONSTRUCTION,IRCON
CONSTRUCTION,RVNL
IT,MPHASIS
OIL & GAS,IGL
CONSUMER GOODS,RADICO
FINANCIAL SERVICES,UCOBANK
INDUSTRIAL MANUFACTURING,BHARATFORG
PHARMA,LUPIN
CHEMICALS,AARTIIND
CONSUMER GOODS,BAJAJELEC
INDUSTRIAL MANUFACTURING,SUPREMEIND
OIL & GAS,HINDPETRO
INDUSTRIAL MANUFACTURING,SCHNEIDER
IT,VAKRANGEE
FINANCIAL SERVICES,KOTAKBANK
MEDIA & ENTERTAINMENT,DISHTV
CONSUMER GOODS,ITC
CONSUMER GOODS,GODFRYPHLP
